Movie,count
In the Mood for Love,49
Mulholland Drive,47
There Will Be Blood,35
Spirited Away,34
Boyhood,30
Eternal Sunshine of the Spotless Mind,29
A Separation,28
The Tree of Life,23
Yi Yi: A One and a Two,22
No Country For Old Men,21
Inside Llewyn Davis,20
Children of Men,18
"4 Months, 3 Weeks & 2 Days",17
Pan's Labyrinth,17
The Act of Killing,16
Holy Motors,16
Zodiac,15
Mad Max: Fury Road,14
The White Ribbon,13
Caché,13
Talk to Her,13
The Social Network,13
The Grand Budapest Hotel,12
Lost in Translation,12
25th Hour,12
"Synecdoche, New York",12
Brokeback Mountain,11
WALL-E,11
Memento,11
Oldboy,11
City of God,10
Son of Saul,10
Inglourious Basterds,10
The Lives of Others,10
Leviathan,10
12 Years a Slave,10
The Master,10
The Dark Knight,9
Certified Copy,9
Margaret,9
Uncle Boonmee Who Can Recall His Past Lives,9
Timbuktu,9
A Serious Man,8
Inside Out,8
"Crouching Tiger, Hidden Dragon",8
Amour,8
Tabu,8
The New World,8
Inception,7
Blue Is the Warmest Color,7
Only Lovers Left Alive,7
Under the Skin,7
A Prophet,7
Spring Breakers,7
Melancholia,7
Once Upon a Time in Anatolia,7
The Royal Tenenbaums,7
Moulin Rouge!,6
The Great Beauty,6
A History of Violence,6
Stories We Tell,6
The Headless Woman,6
Carol,6
Ida,6
Elephant,6
Her,6
Brooklyn,6
Tropical Malady,6
Toni Erdmann,6
The Hurt Locker,6
Goodbye to Language,6
The Turin Horse,6
Far From Heaven,5
35 Shots of Rum,5
Selma,5
Moonrise Kingdom,5
The Return,5
The Diving Bell and the Butterfly,5
Zero Dark Thirty,5
Femme Fatale,5
Moolaadé,5
The Assassin,5
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,5
Syndromes and a Century,5
Fish Tank,5
Birdman,5
The Son,5
Amélie,5
Dogville,5
Before Sunset,5
Kill Bill: Vol. 1,5
Ten,4
The Look of Silence,4
Spotlight,4
Weekend,4
Grizzly Man,4
Fruitvale Station,4
AI: Artificial Intelligence,4
Almost Famous,4
The Artist,4
Nostalgia for the Light,4
A Touch of Sin,4
Secret Sunshine,4
Ratatouille,4
Inherent Vice,4
Russian Ark,4
Finding Nemo,4
Casino Royale,4
The Wolf of Wall Street,4
Amores Perros,4
Werckmeister Harmonies,4
Shame,4
The Gleaners and I,4
Fantastic Mr Fox,4
Waltz with Bashir,4
"Spring, Summer, Fall, Winter…and Spring",4
